# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	331009
#@/user_id	1dd0fc4f-c87c-47d9-ba60-5efabec58bf4
a 	啊	c=1139 d=1.2665 t=331009
duo chi 	多喫	c=2 d=5.14983e-311 t=331009
duo chu 	多出	c=4 d=3.53635e-07 t=331009
duo chu lai 	多出來	c=1 d=0 t=331009
duo chuan 	多穿	c=1 d=5.08934e-85 t=331009
duo chuan dian er 	多穿點兒	c=1 d=5.11485e-84 t=331009
duo ci 	多次	c=7 d=1.02479e-16 t=331009
duo ci wu ren jie ting 	多次無人接聽	c=1 d=0 t=331009
duo ci yi ju 	多此一舉	c=1 d=0 t=331009
duo cu 	多粗	c=1 d=7.59554e-177 t=331009
duo da 	多大	c=12 d=8.65583e-38 t=331009
duo da le 	多大了	c=1 d=0 t=331009
duo dian 	多點	c=1 d=1 t=325784
duo du 	多度	c=1 d=3.88138e-14 t=331009
duo du 	多讀	c=1 d=1 t=307322
duo duan 	多端	c=2 d=5.85893e-123 t=331009
duo duo 	多多	c=0 d=0 t=331009
duo duo 	朵朵	c=2 d=0 t=331009
duo duo jie chu 	多多接觸	c=1 d=0 t=331009
duo fan wei 	多範圍	c=1 d=7.52453e-96 t=331009
duo gao 	多高	c=2 d=7.55766e-177 t=331009
duo ge 	多個	c=75 d=0.00127157 t=331009
duo ge shi 	多格式	c=1 d=1.01302e-152 t=331009
duo ge zhi 	多個值	c=1 d=0 t=331009
duo gong neng 	多功能	c=3 d=4.41366e-221 t=331009
duo guan 	多管	c=1 d=9.7885e-308 t=331009
duo guang biao 	多光標	c=1 d=0 t=331009
duo hang 	多行	c=2 d=2.24982e-10 t=331009
duo hang zhu shi 	多行註釋	c=1 d=0 t=331009
duo hao 	多好	c=1 d=1 t=323556
duo he 	多喝	c=1 d=1.00899e-17 t=331009
duo hou 	多厚	c=2 d=1.99705e-49 t=331009
duo hua 	多花	c=0 d=0 t=331009
duo hua qian 	多花簽	c=1 d=0 t=331009
duo ji 	多級	c=5 d=1.11586e-25 t=331009
duo jia 	多家	c=1 d=2.01242e-286 t=331009
duo jie dian 	多節點	c=1 d=1.22583e-160 t=331009
duo jie duan 	多階段	c=1 d=6.32426e-81 t=331009
duo jiu 	多久	c=15 d=4.10084e-14 t=331009
duo kai 	多開	c=1 d=0 t=331009
duo ke xi 	多可惜	c=1 d=1.14004e-130 t=331009
duo kuan 	多寬	c=1 d=1.16882e-188 t=331009
duo kui 	多虧	c=1 d=0 t=331009
duo lao er 	多老二	c=1 d=0 t=331009
duo le 	多了	c=9 d=8.49338e-21 t=331009
duo li 	多例	c=2 d=3.57893e-107 t=331009
duo lin guo 	多鄰國	c=4 d=2.2121e-144 t=331009
duo lu 	多路	c=0 d=8.36897e-113 t=331009
duo lu fu yong 	多路復用	c=1 d=8.41092e-112 t=331009
duo mai 	多買	c=3 d=0.193013 t=331009
duo mai dian 	多買點	c=1 d=2.37303e-284 t=331009
duo me 	多麼	c=1 d=7.0606e-112 t=331009
duo mo kuai 	多模塊	c=2 d=8.72844e-113 t=331009
duo nan 	多難	c=1 d=1 t=306343
duo ping tai 	多平臺	c=1 d=1.24507e-108 t=331009
duo ru kou 	多入口	c=1 d=0 t=331009
duo shan 	躲閃	c=2 d=7.57329e-25 t=331009
duo shan chu 	多刪除	c=1 d=6.83352e-51 t=331009
duo shang 	多上	c=3 d=5.83349e-160 t=331009
duo shang shi jian 	多上時間	c=4 d=3.22803e-22 t=331009
duo shao 	多少	c=152 d=1.15261 t=331009
duo shao ci 	多少次	c=0 d=0 t=331009
duo shao de 	多少的	c=1 d=0 t=331009
duo shao fen 	多少分	c=2 d=3.63936e-80 t=331009
duo shao jin 	多少斤	c=2 d=3.92055e-132 t=331009
duo shao kuai 	多少塊	c=1 d=1.33041e-182 t=331009
duo shao miao 	多少秒	c=2 d=0 t=331009
duo shao nian 	多少年	c=2 d=0.053397 t=331009
duo shao qian 	多少錢	c=34 d=0.0958472 t=331009
duo shao ren 	多少人	c=1 d=6.33564e-14 t=331009
duo shao shi jian 	多少時間	c=2 d=4.94261e-34 t=331009
duo shao zhao 	多少兆	c=1 d=3.14823e-51 t=331009
duo sheng shi jian 	多省時間	c=1 d=1.38156e-214 t=331009
duo shi yong 	多使用	c=1 d=3.66757e-112 t=331009
duo shui 	多睡	c=1 d=6.34083e-53 t=331009
duo shuo 	多說	c=1 d=9.87998e-06 t=331009
duo suo 	哆嗦	c=2 d=3.19879e-298 t=331009
duo tai 	多態	c=3 d=0 t=331009
duo tai 	多臺	c=1 d=7.9389e-109 t=331009
duo tai xing 	多态性	c=1 d=0 t=331009
duo tiao 	多條	c=1 d=1 t=312777
duo ting 	多聽	c=1 d=1 t=307320
duo xia xi 	多罅隙	c=1 d=5.68812e-216 t=331009
duo xian cheng 	多線程	c=2 d=4.15803e-118 t=331009
duo xiang 	多項	c=1 d=0 t=331009
duo xiao shi 	多小時	c=0 d=7.29671e-147 t=331009
duo xie 	多謝	c=48 d=8.04707e-33 t=331009
duo xie duo xie 	多謝多謝	c=3 d=3.77789e-284 t=331009
duo xie le 	多謝了	c=1 d=9.63932e-10 t=331009
duo xing 	惰性	c=1 d=1.61032e-105 t=331009
duo xiu xi 	多休息	c=2 d=5.74529e-216 t=331009
duo xuan 	多選	c=52 d=9.59125e-10 t=331009
duo xuan kuang 	多選框	c=2 d=3.521e-44 t=331009
duo xuan ren yuan 	多選人員	c=1 d=2.22731e-215 t=331009
duo xuan she bei 	多選設備	c=1 d=2.02119e-249 t=331009
duo yao 	多要	c=1 d=0 t=331009
duo yi xie 	多一些	c=2 d=9.63768e-08 t=331009
duo yu 	多餘	c=34 d=0.0678809 t=331009
duo yue 	多月	c=4 d=1.51546e-127 t=331009
duo yun 	多雲	c=0 d=0 t=331009
duo yun dong 	多雲東	c=1 d=0 t=331009
duo zhi 	多值	c=1 d=0 t=331009
duo zhong 	多種	c=1 d=1.59771e-42 t=331009
duo zhu yi 	多注意	c=2 d=4.376e-219 t=331009
duo zhuan qian 	多賺錢	c=1 d=1 t=308579
e 	額	c=9 d=2.63472e-15 t=331009
e 	餓	c=14 d=3.64568e-71 t=331009
e ding 	額定	c=0 d=3.87457e-200 t=331009
e ding dian liu 	額定電流	c=1 d=3.89399e-199 t=331009
e du 	額度	c=3 d=1.87745e-321 t=331009
e e 	餓餓	c=5 d=2.49475e-109 t=331009
e gao 	惡搞	c=5 d=1.86179e-123 t=331009
e gao zhi jia 	惡搞之家	c=2 d=8.03817e-124 t=331009
e le 	餓了	c=3 d=4.70491e-13 t=331009
e le me 	餓了麼	c=7 d=5.53804e-76 t=331009
e luo si 	俄羅斯	c=4 d=1.60608e-309 t=331009
e luo si fang kuai 	俄羅斯方塊	c=1 d=0 t=331009
e meng 	蛾蠓	c=3 d=0.548812 t=331009
e nuo 	婀娜	c=3 d=2.86129e-250 t=331009
e wai 	額外	c=17 d=1.26067e-11 t=331009
e wu 	俄烏	c=1 d=1.25627e-272 t=331009
e xin 	噁心	c=42 d=2.05888e-18 t=331009
e yi 	惡意	c=4 d=1.19422e-108 t=331009
eh 	誒	c=10 d=2.51826e-47 t=331009
eh ji 	誒及	c=1 d=0 t=331009
eh kan 	誒看	c=1 d=5.76366e-136 t=331009
eh le 	誒了	c=2 d=2.30844e-136 t=331009
eh wo 	誒我	c=4 d=5.1197e-07 t=331009
ei 	誒	c=2 d=8.25025e-91 t=331009
en 	嗯	c=3 d=6.14198e-248 t=331009
en 	恩	c=1120 d=0.827071 t=331009
en ai 	恩愛	c=1 d=9.02517e-294 t=331009
en de 	恩德	c=1 d=2.67382e-100 t=331009
en en 	嗯嗯	c=1069 d=1.94618 t=331009
en en en 	嗯嗯恩	c=1 d=2.02042e-127 t=331009
en gao 	恩膏	c=1 d=0 t=331009
en me 	恩麼	c=2 d=5.47714e-95 t=331009
en na 	恩納	c=1 d=0 t=331009
en ne 	恩呢	c=59 d=5.88266e-09 t=331009
en pian 	恩偏	c=1 d=1 t=310197
en ti 	恩提	c=1 d=0 t=331009
en ze 	恩澤	c=5 d=1.00487 t=325516
eng 	嗯	c=6 d=8.41753e-180 t=331009
eng en 	嗯恩	c=9 d=8.84459e-174 t=331009
eng le 	嗯了	c=1 d=0 t=331009
eng shi 	嗯是	c=1 d=0 t=331009
er 	二	c=52 d=6.01109e-13 t=331009
er 	兒	c=433 d=1.02667 t=331009
er 	爾	c=1 d=9.28255e-125 t=331009
er 	而	c=72 d=0.585447 t=331009
er bei 	二倍	c=1 d=2.92644e-162 t=331009
er bian 	二遍	c=1 d=8.68986e-231 t=331009
er bian 	而變	c=1 d=7.28832e-250 t=331009
er bu 	二部	c=0 d=0 t=331009
er bu fen 	二部分	c=1 d=0 t=331009
er bu shi 	而不是	c=2 d=1.06394e-82 t=331009
er ceng 	二層	c=1 d=1.16101e-21 t=331009
er cha shu 	二叉樹	c=5 d=2.48559e-06 t=331009
er ci 	二次	c=23 d=3.56968e-15 t=331009
er ci kai fa 	二次開發	c=1 d=0 t=331009
er ci que ren 	二次確認	c=2 d=1.25538 t=325082
er ci yuan 	二次元	c=1 d=0 t=331009
er dong 	耳洞	c=1 d=0.427415 t=331009
er du 	二度	c=1 d=0 t=331009
er duan 	二段	c=1 d=0 t=331009
er duo 	耳朵	c=2 d=0 t=331009
er fei 	而非	c=1 d=2.22426e-52 t=331009
er ge 	二哥	c=3 d=0 t=331009
er gui zi 	二鬼子	c=1 d=0 t=331009
er hao 	二號	c=1 d=0 t=331009
er ji 	二級	c=21 d=3.55468e-09 t=331009
er ji 	耳機	c=10 d=3.5725e-09 t=331009
er ji cai dan 	二級菜單	c=1 d=0 t=331009
er ji dian 	耳機電	c=1 d=7.36449e-49 t=331009
er ji he 	耳機盒	c=3 d=5.77249e-154 t=331009
er ji ye mian 	二級頁面	c=3 d=5.31252e-100 t=331009
er ji yu ming 	二級域名	c=1 d=1.08083e-179 t=331009
er jia 	二價	c=1 d=0 t=331009
er jie duan 	二階段	c=1 d=0 t=331009
er jin zhi 	二進制	c=19 d=7.03325e-37 t=331009
er lai 	而來	c=2 d=4.69915e-28 t=331009
er mian 	二面	c=5 d=6.93842e-46 t=331009
er nu li 	而努力	c=1 d=0 t=331009
er pan 	耳畔	c=0 d=0 t=331009
er pin 	二品	c=0 d=0 t=331009
er qi 	二期	c=36 d=1.28911e-156 t=331009
er qian 	二千	c=1 d=1.93625e-97 t=331009
er qie 	而且	c=50 d=0.290835 t=331009
er ren 	二人	c=2 d=8.10895e-262 t=331009
er shi 	二十	c=2 d=3.5222e-49 t=331009
er shi 	而是	c=7 d=2.4491e-89 t=331009
er shi da 	二十大	c=2 d=1.55089e-280 t=331009
er shi er 	二十二	c=0 d=0 t=331009
er shi fen 	二十分	c=1 d=3.53985e-48 t=331009
er shi qi 	二十七	c=3 d=1.35941e-171 t=331009
er shou 	二手	c=8 d=5.85172e-10 t=331009
er shou che 	二手車	c=2 d=1.78074e-310 t=331009
er shou fang 	二手房	c=8 d=1.73957e-56 t=331009
er wa 	耳挖	c=0 d=0 t=331009
er wa ma 	耳挖嗎	c=2 d=0 t=331009
er wei ma 	二維碼	c=185 d=1.84645e-09 t=331009
er wo 	而我	c=1 d=0 t=331009
er xi fu 	兒媳婦	c=1 d=1.19544e-247 t=331009
er xian 	二線	c=2 d=7.87138e-38 t=331009
er yan 	而言	c=1 d=3.69523e-24 t=331009
er yi 	二姨	c=4 d=6.1161e-100 t=331009
er yi fu 	二姨父	c=1 d=0 t=331009
er yin qi de 	而引起的	c=1 d=0 t=331009
er you 	而又	c=1 d=1.42739e-10 t=331009
er zhou 	二周	c=1 d=0 t=331009
er zi 	兒子	c=2 d=8.0969e-281 t=331009
fa 	法	c=20 d=0.280832 t=331009
fa 	發	c=540 d=0.0982374 t=331009
fa 	罰	c=1 d=2.50454e-154 t=331009
fa ban 	發版	c=10 d=3.38892e-06 t=331009
fa bao 	法寶	c=1 d=3.14367e-269 t=331009
fa biao 	發表	c=2 d=4.99706e-104 t=331009
fa bu 	發佈	c=67 d=4.00721e-07 t=331009
fa bu chu 	發不出	c=3 d=5.2936e-47 t=331009
fa bu chu lai 	發佈出來	c=1 d=3.95159e-19 t=331009
fa bu hui 	發佈會	c=4 d=4.50735e-192 t=331009
fa bu liao 	發不了	c=2 d=0 t=331009
fa che 	發車	c=1 d=3.63774e-16 t=331009
fa chu 	發怵	c=1 d=4.88266e-155 t=331009
fa cuo 	發錯	c=6 d=4.46769e-22 t=331009
fa cuo le 	發錯了	c=1 d=7.32307e-159 t=331009
fa cuo ren 	發錯人	c=1 d=1 t=310375
fa da 	發達	c=1 d=1 t=330014
fa dai 	發呆	c=1 d=1 t=302607
fa dao 	發到	c=1 d=1 t=326853
fa de 	發的	c=3 d=1.49386e-16 t=331009
fa ding 	法定	c=11 d=1.05827e-78 t=331009
fa duan xin 	發短信	c=1 d=3.78187e-267 t=331009
fa fang 	發放	c=17 d=2.59863e-47 t=331009
fa fang ri 	發放日	c=1 d=4.60379e-169 t=331009
fa ge 	發個	c=3 d=1.15596e-58 t=331009
fa ge ban 	發個版	c=1 d=8.1192e-226 t=331009
fa gei 	發給	c=6 d=3.3518e-141 t=331009
fa gei ni 	發給你	c=2 d=1.07412e-47 t=331009
fa gei ta 	發給他	c=1 d=6.39175e-147 t=331009
fa gei wo 	發給我	c=3 d=2.38635e-57 t=331009
fa gei xian 	發給先	c=1 d=0 t=331009
fa gong zi 	發工資	c=5 d=2.76933e-14 t=331009
fa guang 	發光	c=1 d=0 t=331009
fa guo 	法國	c=1 d=0 t=331009
fa guo 	發過	c=5 d=2.97534e-298 t=331009
fa guo cai 	法國菜	c=1 d=5.25314e-280 t=331009
fa guo lai 	發過來	c=1 d=1.172e-73 t=331009
fa guo qu 	發過去	c=1 d=0 t=331009
fa hua 	發話	c=1 d=0 t=331009
fa huang 	發黃	c=3 d=3.07376e-181 t=331009
fa hui 	發揮	c=2 d=6.74079e-243 t=331009
fa huo 	發貨	c=17 d=8.70875e-139 t=331009
fa jiao 	發酵	c=1 d=0 t=331009
fa kai 	發開	c=1 d=6.5482e-108 t=331009
fa kuan 	罰款	c=3 d=3.45881e-99 t=331009
fa la li 	法拉利	c=1 d=0 t=331009
fa lai 	發來	c=3 d=0 t=331009
fa lao 	法老	c=1 d=2.71969e-153 t=331009
fa le 	發了	c=10 d=8.52434e-05 t=331009
fa le fa le 	發了發了	c=1 d=0 t=331009
fa lv 	法律	c=4 d=1.93876e-171 t=331009
fa lv shang 	法律上	c=1 d=2.06897e-171 t=331009
fa lv xiao li 	法律效力	c=1 d=1 t=307303
fa lv ze ren 	法律責任	c=1 d=4.13417e-21 t=331009
fa men 	閥門	c=2 d=1.32696e-34 t=331009
fa ming 	發明	c=3 d=0.0570578 t=331009
fa ni 	發你	c=5 d=8.93036e-23 t=331009
fa nin 	發您	c=5 d=1.01467e-83 t=331009
fa pao jiao 	發泡膠	c=1 d=9.60541e-233 t=331009
fa piao 	發票	c=1 d=1 t=301019
fa qi 	發起	c=18 d=1.2368e-43 t=331009
fa qi ren 	發起人	c=8 d=3.28472e-34 t=331009
fa re 	發熱	c=2 d=2.17459e-51 t=331009
fa ren 	法人	c=1 d=1 t=305445
fa ren 	發人	c=1 d=1 t=305416
fa sa 	發撒	c=1 d=2.2447e-42 t=331009
fa san 	發散	c=1 d=2.25596e-42 t=331009
fa shang 	發上	c=3 d=2.41418e-16 t=331009
fa shao 	發燒	c=1 d=6.99659e-240 t=331009
fa sheng 	發生	c=53 d=1.20506e-18 t=331009
fa song 	發送	c=78 d=1.41319e-10 t=331009
fa song duan 	發送端	c=3 d=4.35826e-109 t=331009
fa song fa 	發送發	c=1 d=2.0772e-12 t=331009
fa song gei 	發送給	c=1 d=1.61087e-109 t=331009
fa suan 	發酸	c=1 d=1.70231e-229 t=331009
fa suan xin 	發酸新	c=1 d=3.76301e-267 t=331009
fa wai 	法外	c=1 d=0 t=331009
fa wan 	發完	c=2 d=3.34144e-134 t=331009
fa wo 	發我	c=27 d=0.0107807 t=331009
fa wo xia 	發我下	c=1 d=1 t=328091
fa wo yi xia 	發我一下	c=2 d=1.84677e-11 t=331009
fa wu 	法務	c=3 d=1.07662e-133 t=331009
fa xian 	發現	c=38 d=6.64381e-11 t=331009
fa xiao xi 	發消息	c=1 d=0 t=331009
fa xie 	發些	c=1 d=0.000209665 t=331009
fa xin 	發信	c=3 d=8.98256e-209 t=331009
fa xin 	發薪	c=1 d=1.0162 t=307008
fa xin ri 	發薪日	c=1 d=1 t=306645
fa xing 	發行	c=1 d=1 t=302175
fa yi 	法醫	c=1 d=0 t=331009
fa yi fen 	發一份	c=1 d=0 t=331009
fa yi ge 	發一個	c=1 d=1.11462e-247 t=331009
fa yi xia 	發一下	c=9 d=4.37015e-27 t=331009
fa you 	發有	c=1 d=0 t=331009
fa you jian 	發郵件	c=12 d=9.69267e-163 t=331009
fa you jian ni 	發郵件你	c=1 d=3.27353e-304 t=331009
fa zhan 	發展	c=11 d=6.04186e-73 t=331009
fa zhao pian 	發照片	c=1 d=2.89784e-311 t=331009
fa zheng 	發證	c=1 d=2.19308e-33 t=331009
fan 	凡	c=1 d=0 t=331009
fan 	反	c=13 d=1.01074e-08 t=331009
fan 	煩	c=6 d=0.0731678 t=331009
fan 	繁	c=0 d=4.43199e-105 t=331009
fan 	翻	c=5 d=7.56789e-46 t=331009
fan 	范	c=1 d=2.11891e-275 t=331009
fan 	飯	c=34 d=0.186374 t=331009
fan ai 	泛愛	c=0 d=6.04769e-291 t=331009
fan ai kan 	泛愛看	c=1 d=6.07801e-290 t=331009
fan ao 	飯奧	c=1 d=0 t=331009
fan bei 	翻倍	c=1 d=5.41325e-104 t=331009
fan ben 	範本	c=2 d=1.02472 t=307566
fan bian 	翻遍	c=1 d=0 t=331009
fan bu liao 	翻不了	c=1 d=2.8178e-70 t=331009
fan bu zhao 	犯不着	c=1 d=6.38414e-133 t=331009
fan chang 	翻唱	c=18 d=9.50298e-107 t=331009
fan che 	翻車	c=2 d=0 t=331009
fan cheng zhi xia 	繁城之下	c=10 d=1.26421e-100 t=331009
fan chou 	範疇	c=2 d=2.37722e-246 t=331009
fan cuo 	犯錯	c=3 d=6.76381e-123 t=331009
fan de 	反的	c=2 d=1.51144e-36 t=331009
fan de 	返的	c=1 d=4.67292e-256 t=331009
fan dian 	飯店	c=1 d=0 t=331009
fan e 	犯惡	c=0 d=9.73203e-241 t=331009
fan e xin 	犯惡心	c=1 d=9.78081e-240 t=331009
fan er 	反而	c=3 d=7.6865e-170 t=331009
fan fa 	反法	c=2 d=0 t=331009
fan fan 	翻翻	c=1 d=0 t=331009
fan fan 	飯飯	c=16 d=4.49335e-43 t=331009
fan fu 	反覆	c=4 d=4.7556e-103 t=331009
fan gao 	梵高	c=2 d=0 t=331009
fan gei 	反給	c=1 d=1 t=323219
fan gei 	飯給	c=2 d=5.7933e-20 t=331009
fan gei wo 	反給我	c=2 d=1 t=323188
fan guo lai 	反過來	c=1 d=1 t=304450
fan hou 	飯後	c=1 d=0 t=331009
fan hu 	泛湖	c=1 d=0 t=331009
fan hua 	反華	c=1 d=2.30211e-280 t=331009
fan hua 	泛化	c=1 d=0 t=331009
fan huang 	泛黃	c=4 d=3.51507e-318 t=331009
fan hui 	反悔	c=1 d=2.86206e-165 t=331009
fan hui 	返回	c=431 d=0.184326 t=331009
fan hui de 	返回的	c=1 d=1.9011e-293 t=331009
fan hui zhi 	返回值	c=23 d=1.37119e-08 t=331009
fan ji 	反擊	c=2 d=6.44893e-46 t=331009
fan jiang 	反講	c=15 d=1.06995 t=325684
fan jin 	反津	c=1 d=0 t=331009
fan kai 	翻開	c=1 d=0 t=331009
fan kang 	反抗	c=4 d=7.24803e-273 t=331009
fan ke li hua 	反柯里化	c=1 d=0 t=331009
fan kui 	反饋	c=13 d=2.45093e-76 t=331009
fan le 	反了	c=2 d=5.03082e-95 t=331009
fan le 	翻了	c=1 d=5.67748e-195 t=331009
fan le fan 	翻了翻	c=1 d=5.70594e-194 t=331009
fan li jie 	范立傑	c=1 d=1.29925e-256 t=331009
fan liu 	反流	c=1 d=2.00413e-120 t=331009
fan long 	樊籠	c=0 d=0 t=331009
fan long kai 	樊籠開	c=1 d=0 t=331009
fan mang 	煩忙	c=1 d=9.24472e-77 t=331009
fan neng 	泛能	c=1 d=1 t=313420
fan qiang 	翻牆	c=12 d=6.02549e-41 t=331009
fan qie 	番茄	c=0 d=0 t=331009
fan ran 	幡然	c=1 d=0 t=331009
fan ren 	煩人	c=2 d=0 t=331009
fan ruan 	凡軟	c=33 d=1.74606e-54 t=331009
fan shi 	範式	c=7 d=6.69728e-20 t=331009
fan shuo 	凡碩	c=1 d=1.27971e-78 t=331009
fan si 	煩死	c=2 d=0 t=331009
fan si le 	煩死了	c=1 d=1 t=314513
fan suo 	繁瑣	c=3 d=0 t=331009
fan tai ying 	飯太硬	c=1 d=1 t=314991
fan te xi 	范特西	c=1 d=0 t=331009
fan ti 	繁體	c=4 d=2.35389e-277 t=331009
fan tuan 	飯糰	c=1 d=0 t=331009
fan tui 	反推	c=1 d=1.6957e-07 t=331009
fan wei 	範圍	c=43 d=0.351692 t=331009
fan wei 	范偉	c=1 d=2.18974e-162 t=331009
fan wen 	反問	c=1 d=0 t=331009
fan wo 	反我	c=1 d=0 t=331009
fan xian 	范縣	c=1 d=9.97395e-176 t=331009
fan xiang 	反向	c=0 d=3.17912e-108 t=331009
fan xiang 	反相	c=1 d=8.85685e-14 t=331009
fan xiang 	反響	c=1 d=3.17912e-107 t=331009
fan xiang dai li 	反向代理	c=3 d=1.01396e-106 t=331009
fan xiang dai li 	反響代理	c=1 d=0 t=331009
fan xiao 	返校	c=0 d=0 t=331009
fan xiao ji 	返校季	c=8 d=0 t=331009
fan xing 	反省	c=2 d=0 t=331009
fan xing 	泛型	c=46 d=7.90545e-30 t=331009
fan ye 	翻頁	c=2 d=1.48816e-222 t=331009
fan yi 	翻譯	c=17 d=6.32123e-46 t=331009
fan yi ci 	反義詞	c=2 d=2.99061e-35 t=331009
fan yi ge 	反一個	c=1 d=3.67522e-254 t=331009
fan yi guo 	翻譯過	c=1 d=1.03601e-122 t=331009
fan yi jun 	翻譯君	c=1 d=1 t=304956
fan yin hao 	反引號	c=4 d=0 t=331009
fan ying 	反應	c=10 d=3.15597e-168 t=331009
fan ying guo lai 	反應過來	c=1 d=1.72293e-253 t=331009
fan zhang 	反掌	c=5 d=0 t=331009
fan zheng 	反正	c=37 d=1.87372e-05 t=331009
fan zheng 	反證	c=1 d=0 t=331009
fan zhi 	反之	c=8 d=0.496585 t=331009
fan zhi 	繁殖	c=4 d=1.58485 t=331009
fan zhi yi ran 	反之亦然	c=1 d=0 t=331009
fan zhuan 	反轉	c=6 d=4.07583e-89 t=331009
fan zhuan 	翻轉	c=1 d=0 t=331009
fan zhuang 	反裝	c=1 d=3.1073e-191 t=331009
fan zi 	販子	c=2 d=0.000185029 t=331009
fan zui 	犯罪	c=2 d=8.84223e-259 t=331009
fang 	仿	c=6 d=3.19635e-53 t=331009
fang 	坊	c=0 d=1.71566e-28 t=331009
fang 	房	c=19 d=3.29232e-18 t=331009
fang 	放	c=162 d=0.47752 t=331009
fang 	方	c=14 d=0.0137049 t=331009
fang 	芳	c=2 d=6.16851e-23 t=331009
fang 	訪	c=1 d=0 t=331009
fang 	防	c=1 d=2.18307e-273 t=331009
fang an 	方案	c=48 d=1.16035e-35 t=331009
fang an yi 	方案一	c=1 d=2.61447e-130 t=331009
fang bao 	放包	c=1 d=1.00008e-237 t=331009
fang bao li le 	放包裏了	c=1 d=1.00509e-236 t=331009
fang ben 	房本	c=2 d=1 t=304764
fang bian 	方便	c=89 d=0.496585 t=331009
fang bian mian 	方便麪	c=3 d=7.06783e-263 t=331009
fang bu fang bian 	方不方便	c=1 d=1.80831e-175 t=331009
fang bu liao 	放不了	c=2 d=0 t=331009
fang bu zhu 	放不住	c=1 d=1.53603e-255 t=331009
fang cang 	方艙	c=1 d=3.88434e-258 t=331009
fang chan 	房產	c=1 d=1.33716e-124 t=331009
fang chan zheng 	房產證	c=5 d=2.0692e-22 t=331009
fang chu 	放出	c=1 d=1 t=308821
fang cuo 	放錯	c=1 d=0 t=331009
fang da 	放大	c=15 d=0.0140266 t=331009
fang da 	方大	c=0 d=0 t=331009
fang da suo xiao 	放大縮小	c=1 d=0.0361528 t=331009
fang da tong 	方大同	c=1 d=0 t=331009
fang dai 	房貸	c=13 d=0.0018734 t=331009
fang dao 	放到	c=40 d=0.272532 t=331009
fang dao men 	防盜門	c=1 d=1.46753e-189 t=331009
fang de 	放的	c=0 d=3.01803e-202 t=331009
fang de 	方的	c=1 d=3.01803e-201 t=331009
fang de zhu 	放的住	c=3 d=5.7565e-195 t=331009
fang di chan 	房地產	c=4 d=4.68463e-21 t=331009
fang ding 	房頂	c=11 d=5.47911e-42 t=331009
fang dong 	房東	c=22 d=3.82946e-32 t=331009
fang dou 	防抖	c=1 d=1 t=316212
fang fa 	方法	c=275 d=5.76082e-05 t=331009
fang fa 	訪法	c=2 d=0 t=331009
fang fan 	防範	c=1 d=1.14116e-24 t=331009
fang fang 	放放	c=5 d=0 t=331009
fang fang 	方方	c=0 d=0 t=331009
fang fang 	芳芳	c=1 d=0 t=331009
fang fang mian 	方方面	c=1 d=0 t=331009
fang fei 	放飛	c=1 d=0 t=331009
fang ge 	放個	c=1 d=0 t=331009
fang guan ju 	房管局	c=1 d=0 t=331009
fang guo 	放過	c=1 d=0 t=331009
fang hao 	房號	c=1 d=5.00018e-317 t=331009
fang hu 	防護	c=1 d=1.32779e-247 t=331009
fang hui 	放回	c=5 d=1.05181e-06 t=331009
fang jia 	房價	c=3 d=1.28063e-57 t=331009
fang jia 	放假	c=12 d=2.83452e-22 t=331009
fang jia gao 	房價高	c=1 d=0 t=331009
fang jia li 	放假裏	c=1 d=0 t=331009
fang jian 	房間	c=1 d=2.18221e-05 t=331009
fang jie 	芳姐	c=2 d=5.4565e-80 t=331009
fang jin 	放進	c=1 d=3.64671e-280 t=331009
fang jin qu 	放進去	c=2 d=2.81312e-168 t=331009
fang kong 	防控	c=1 d=2.17359e-310 t=331009
fang kuai 	方塊	c=1 d=0 t=331009
fang kuan 	放寬	c=1 d=4.59146e-255 t=331009
fang kuang 	方框	c=1 d=4.60219e-18 t=331009
fang kuo hao 	方括號	c=4 d=5.36714e-17 t=331009
fang le 	放了	c=13 d=8.80733e-95 t=331009
fang li 	房裏	c=1 d=2.05367e-25 t=331009
fang mian 	方面	c=11 d=3.13349e-84 t=331009
fang ming 	芳銘	c=1 d=1.27541e-09 t=331009
fang na 	放拿	c=1 d=2.57142e-23 t=331009
fang na le 	放哪了	c=1 d=2.42053e-135 t=331009
fang nu 	房奴	c=3 d=0.00324708 t=331009
fang pi 	放屁	c=2 d=1.51052e-244 t=331009
fang qi 	房企	c=3 d=0 t=331009
fang qi 	放棄	c=9 d=4.94519e-126 t=331009
fang ren 	放任	c=1 d=2.7067e-273 t=331009
fang ru 	放入	c=3 d=6.9055e-86 t=331009
fang shan 	房山	c=1 d=0 t=331009
fang shang 	放上	c=1 d=7.12382e-158 t=331009
fang shi 	方式	c=137 d=0.15511 t=331009
fang shui 	防水	c=44 d=1.00888e-162 t=331009
fang song 	放鬆	c=1 d=6.40414e-111 t=331009
fang tang 	方糖	c=1 d=0 t=331009
fang wei 	防僞	c=1 d=2.23891e-41 t=331009
fang wen 	訪問	c=155 d=0.00106477 t=331009
fang wen bu liao 	訪問不了	c=1 d=0 t=331009
fang wen ji 	訪問記	c=1 d=1.07179e-139 t=331009
fang wen ma 	訪問嗎	c=1 d=0 t=331009
